ID,Name,InChI,InChIKey,SMILES,Solubility,SD,Ocurrences,Group,MolWt,MolLogP,MolMR,HeavyAtomCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,RingCount,TPSA,LabuteASA,BalabanJ,BertzCT
A-17,4-(dimethylamino)benzaldehyde,"InChI=1S/C9H11NO/c1-10(2)9-5-3-8(7-11)4-6-9/h3-7H,1-2H3",BGNGWHSBYQYVRX-UHFFFAOYSA-N,CN(C)c1ccc(C=O)cc1,-2.28276884990,0.00000000000,1,G1,149.19300,1.56510,46.15650,11,2,0,2,2,58,1,0,0,1,20.31,66.44758523293,2.90982279990,238.24457522404
A-18,2-methyl-1-phenylpropan-2-yl acetate,"InChI=1S/C12H16O2/c1-10(13)14-12(2,3)9-11-7-5-4-6-8-11/h4-8H,9H2,1-3H3",FLUWAIIVLCVEKF-UHFFFAOYSA-N,CC(=O)OC(C)(C)Cc1ccccc1,-2.39464996850,0.00000000000,1,G1,192.25800,2.57080,55.99100,14,2,0,2,3,76,1,0,0,1,26.30,84.89612313543,2.63387002343,301.35758485260
A-19,"2,3-dimethylphenol; 2,4-dimethylphenol; 2,5-dimethylphenol; 2,6-dimethylphenol; 3,4-dimethylphenol; 3,5-dimethylphenol","InChI=1S/6C8H10O/c1-6-3-7(2)5-8(9)4-6;1-6-3-4-8(9)5-7(6)2;1-6-3-4-8(9)7(2)5-6;1-6-3-4-7(2)8(9)5-6;1-6-4-3-5-8(9)7(6)2;1-6-4-3-5-7(2)8(6)9/h6*3-5,9H,1-2H3",YJZHZFOWHRKQHS-UHFFFAOYSA-N,Cc1ccc(O)c(C)c1.Cc2ccc(C)c(O)c2.Cc3cc(C)cc(O)c3.Cc4ccc(O)cc4C.Cc5cccc(O)c5C.Cc6cccc(C)c6O,-1.98030979570,0.15585905550,4,G5,733.00200,12.05424,225.48480,54,6,6,6,0,288,6,0,0,6,121.38,322.89073780340,0.00000032400,1804.41854746881
A-21,2-(4-tert-butylphenoxymethyl)oxirane,"InChI=1S/C13H18O2/c1-13(2,3)10-4-6-11(7-5-10)14-8-12-9-15-12/h4-7,12H,8-9H2,1-3H3",HHRACYLRBOUBKM-UHFFFAOYSA-N,CC(C)(C)c1ccc(OCC2CO2)cc1,-3.43023887980,0.00000000000,1,G1,206.28500,2.76170,60.37700,15,2,0,2,3,82,1,1,1,2,21.76,91.20725722576,1.96158800213,317.38434399783
A-22,5-methoxy-1-[4-(trifluoromethyl)phenyl]pentan-1-one,"InChI=1S/C13H15F3O2/c1-18-9-3-2-4-12(17)10-5-7-11(8-6-10)13(14,15)16/h5-8H,2-4,9H2,1H3",VYKSRLDHXQURKA-UHFFFAOYSA-N,COCCCCC(=O)c1ccc(cc1)C(F)(F)F,-3.54405970080,0.00000000000,1,G1,260.25500,3.70480,61.50150,18,2,0,5,6,100,1,0,0,1,26.30,103.75767145860,2.54267043081,382.21798444197
A-23,"(2E)-3,7-dimethylocta-2,6-dien-1-ol","InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7-",GLZPCOQZEFWAFX-YFHOEESVSA-N,CC(C)=CCC\C(C)=C/CO,-2.32060116610,0.07163286926,4,G5,154.25300,2.67140,49.50780,11,1,1,1,4,64,0,0,0,0,20.23,69.43875774523,3.54438743137,150.25571236699
A-24,2-(4-chloro-2-methylphenoxy)propanoic acid,"InChI=1S/C10H11ClO3/c1-6-5-8(11)3-4-9(6)14-7(2)10(12)13/h3-5,7H,1-2H3,(H,12,13)",WNTGYJSOUMFZEP-UHFFFAOYSA-N,CC(Oc1ccc(Cl)cc1C)C(O)=O,-2.46603078630,0.06062087680,4,G5,214.64800,2.50032,53.91480,14,2,1,4,3,76,1,0,0,1,46.53,87.26373888571,2.81766488462,349.22038935947
A-25,zinc bis[O-(2-ethylhexyl) O-isobutyl dithiophosphate],"InChI=1S/2C12H27O2PS2.Zn/c2*1-5-7-8-12(6-2)10-14-15(16,17)13-9-11(3)4;/h2*11-12H,5-10H2,1-4H3,(H,16,17);/q;;+2/p-2",FHIAIHDDIOVFSY-UHFFFAOYSA-L,[Zn++].CCCCC(CC)CO[P]([S-])(=S)OCC(C)C.CCCCC(CC)CO[P]([S-])(=S)OCC(C)C,-2.95819504720,0.00000000000,1,G1,660.28200,9.32430,163.39600,35,8,0,11,20,208,0,0,0,0,36.92,251.87007803629,-0.00000056889,523.64220564500
A-26,1-chloro-3-(trifluoromethyl)benzene,"InChI=1S/C7H4ClF3/c8-6-3-1-2-5(4-6)7(9,10)11/h1-4H",YTCGOUNVIAWCMG-UHFFFAOYSA-N,FC(F)(F)c1cccc(Cl)c1,-3.41151388490,0.00000000000,1,G1,180.55600,3.35880,36.45400,11,0,0,4,0,60,1,0,0,1,0.00,66.59621766955,3.05990169222,254.10775327613
A-27,"oxiran-2-ylmethyl 2,2-dimethyloctanoate","InChI=1S/C13H24O3/c1-5-13(4,7-6-10(2)3)12(14)16-9-11-8-15-11/h10-11H,5-9H2,1-4H3",DHEHEJGXTUCSQF-UHFFFAOYSA-N,CCC(C)(CCC(C)C)C(=O)OCC1CO1,-3.51346874070,0.00000000000,1,G1,228.33200,2.78090,63.16900,16,3,0,3,7,94,0,1,1,1,38.83,98.50133780612,2.37495957574,233.33220565074
A-28,2-methylheptyl 3-sulfanylpropanoate,"InChI=1S/C11H22O2S/c1-10(2)6-4-3-5-8-13-11(12)7-9-14/h10,14H,3-9H2,1-2H3",ZHUWXKIPGGZNJW-UHFFFAOYSA-N,CC(C)CCCCCOC(=O)CCS,-4.45438169950,0.00000000000,1,G1,218.36200,3.06590,62.73500,14,3,1,3,8,84,0,0,0,0,26.30,92.81880616475,3.09207646418,146.22295770631
A-29,1-methyl-4-(propan-2-ylidene)cyclohex-1-ene,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4H,5-7H2,1-3H3",MOYAFQVGZZPNRA-UHFFFAOYSA-N,CC(C)=C1CCC(=CC1)C,-4.28734293450,0.13123059146,3,G5,136.23800,3.45300,45.98200,10,0,0,0,0,56,0,0,1,1,0.00,63.63869283950,2.66873043231,178.21499122004
A-30,aluminium(3+) ion sodium bis(oxosilanebis(olate)),InChI=1S/Al.Na.2O3Si/c;;2*1-4(2)3/q+3;+1;2*-2,URGAHOPLAPQHLN-UHFFFAOYSA-N,[Na+].[Al+3].[O-][Si]([O-])=O.[O-][Si]([O-])=O,-3.47313905170,0.00000000000,1,G1,202.13800,-9.13200,18.63500,10,6,0,10,0,48,0,0,0,0,126.38,92.74620493045,-0.00000003000,73.74860596185
A-31,zinc(2+) ion bis(2-methylprop-2-enoate),"InChI=1S/C4H6O2.Zn/c1-3(2)4(5)6;/h1H2,2H3,(H,5,6);/q;+2/p-1",IQODPIFSDKREOZ-UHFFFAOYSA-M,[Zn++].CC(=C)C([O-])=O,-2.36320809770,0.00000000000,1,G1,150.47200,-0.69010,19.82100,7,2,0,3,1,34,0,0,0,0,40.13,54.98355823364,0.00000000000,75.69058447171
A-32,3-[2-(ethylamino)-1-hydroxyethyl]phenol,"InChI=1S/C10H15NO2/c1-2-11-7-10(13)8-4-3-5-9(12)6-8/h3-6,10-13H,2,7H2,1H3",SQVIAVUSQAWMKL-UHFFFAOYSA-N,CCNCC(O)c1cccc(O)c1,-3.45410263980,0.00000000000,1,G1,181.23500,1.03510,51.61030,13,3,3,3,4,72,1,0,0,1,52.49,78.02950126508,2.59715082149,262.85658781897
A-33,"Phosphorodithioic acid, mixed O,O-bis(sec-Bu and 1,3-dimethylbutyl) esters, zinc salts","InChI=1S/2C10H23O2PS2.Zn/c2*1-6-9(4)11-13(14,15)12-10(5)7-8(2)3;/h2*8-10H,6-7H2,1-5H3,(H,14,15);/q;;+2/p-2",PWMSQVOBEKFBRF-UHFFFAOYSA-L,[Zn++].CCC(C)O[P]([S-])(=S)OC(C)CC(C)C.CCC(C)O[P]([S-])(=S)OC(C)CC(C)C,-2.99087686790,0.00000000000,1,G1,604.17400,8.04570,144.98000,31,8,0,11,14,184,0,0,0,0,36.92,226.41030957870,-0.00000049000,495.30922368149
A-34,"2,4-dichloro-1-(chloromethyl)benzene","InChI=1S/C7H5Cl3/c8-4-5-1-2-6(9)3-7(5)10/h1-3H,4H2",IRSVDHPYXFLLDS-UHFFFAOYSA-N,ClCc1ccc(Cl)cc1Cl,-3.51294219320,0.00000000000,1,G1,195.47600,3.73220,46.01900,10,0,0,3,1,54,1,0,0,1,0.00,74.70614391454,3.06998271500,232.29287048966
A-36,"(1S,5S)-6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane","InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h8-9H,1,4-6H2,2-3H3",WTARULDDTDQWMU-UHFFFAOYSA-N,CC1(C)C2CCC(=C)C1C2,-4.29231345490,1.24778736586,3,G4,136.23800,2.99870,43.75200,10,0,0,0,0,56,0,3,3,3,0.00,63.32246471816,2.23108081288,174.47733175671
A-38,"9-Octadecenoic acid (Z)-, reaction products with 2-[(2-aminoethyl)amino]ethanol","InChI=1S/C18H34O2.C4H12N2O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20;5-1-2-6-3-4-7/h9-10H,2-8,11-17H2,1H3,(H,19,20);6-7H,1-5H2/b10-9-;",YGJDXOJIYODGEO-KVVVOXFISA-N,CCCCCCCC\C=C/CCCCCCCC(O)=O.NCCNCCO,-4.80913418940,0.28626607202,3,G5,386.62100,4.63550,116.09770,27,4,4,5,19,162,0,0,0,0,95.58,167.35900603656,0.00000000000,305.93301518274
A-39,dodecyl 2-hydroxypropanoate,"InChI=1S/C15H30O3/c1-3-4-5-6-7-8-9-10-11-12-13-18-15(17)14(2)16/h14,16H,3-13H2,1-2H3",QQQMUBLXDAFBRH-UHFFFAOYSA-N,CCCCCCCCCCCCOC(=O)C(C)O,-4.63414462030,0.10653741265,2,G3,258.40200,3.83130,74.48380,18,3,1,3,12,108,0,0,0,0,46.53,111.91774171113,3.05311977837,190.17773534638
A-45,hydroxylamine,"InChI=1S/H3NO/c1-2/h2H,1H2",AVXURJPOCDRRFD-UHFFFAOYSA-N,NO,-0.76303371800,0.86129799954,7,G4,33.03000,-0.66570,5.97390,2,2,2,2,0,14,0,0,0,0,46.25,12.46247186212,1.00000000000,2.00000000000
A-47,2-phenoxyethyl prop-2-enoate,"InChI=1S/C11H12O3/c1-2-11(12)14-9-8-13-10-6-4-3-5-7-10/h2-7H,1,8-9H2",RZVINYQDSSQUKO-UHFFFAOYSA-N,C=CC(=O)OCCOc1ccccc1,-2.56362571310,0.22796597780,2,G3,192.21400,1.79460,53.09300,14,3,0,3,5,74,1,0,0,1,35.53,82.95512321835,2.16214325886,292.66077056341
A-48,benzyl-tributylazanium; 4-hydroxynaphthalene-1-sulfonate,"InChI=1S/C19H34N.C10H8O4S/c1-4-7-15-20(16-8-5-2,17-9-6-3)18-19-13-11-10-12-14-19;11-9-5-6-10(15(12,13)14)8-4-2-1-3-7(8)9/h10-14H,4-9,15-18H2,1-3H3;1-6,11H,(H,12,13,14)/q+1;/p-1",XVJXBJTXFXPQAN-UHFFFAOYSA-M,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.Oc2ccc(c3ccccc23)[S]([O-])(=O)=O,-2.64181927270,0.00000000000,1,G1,499.71700,6.85320,143.30740,35,4,1,6,12,192,3,0,0,3,77.43,211.31291541702,0.00000025600,1108.11231387037
A-49,undec-10-enoic acid,"InChI=1S/C11H20O2/c1-2-3-4-5-6-7-8-9-10-11(12)13/h2H,1,3-10H2,(H,12,13)",FRPZMMHWLSIFAZ-UHFFFAOYSA-N,OC(=O)CCCCCCCCC=C,-3.55282614520,0.11549438370,3,G5,184.27900,3.37780,54.76880,13,1,1,2,9,76,0,0,0,0,37.30,80.65482499185,2.90928673266,141.02570513334
A-50,"carboxymethyldimethyl-3-[[(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)sulphonyl]amino]propylammonium hydroxide","InChI=1S/C15H19F13N2O4S/c1-30(2,8-9(31)32)6-3-5-29-35(33,34)7-4-10(16,17)11(18,19)12(20,21)13(22,23)14(24,25)15(26,27)28/h29H,3-8H2,1-2H3",OKOCIUJVPQKDLL-UHFFFAOYSA-N,C[N+](C)(CCCN[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC([O-])=O,-4.05718514750,0.00000000000,1,G1,570.36800,2.25110,88.66290,35,4,1,20,14,210,0,0,0,0,86.30,189.23659995248,5.46476289338,857.40567769108
A-51,2-benzyl-2-(dimethylamino)-1-[4-(morpholin-4-yl)phenyl]butan-1-one,"InChI=1S/C23H30N2O2/c1-4-23(24(2)3,18-19-8-6-5-7-9-19)22(26)20-10-12-21(13-11-20)25-14-16-27-17-15-25/h5-13H,4,14-18H2,1-3H3",UHFFVFAKEGKNAQ-UHFFFAOYSA-N,CCC(Cc1ccccc1)(N(C)C)C(=O)c2ccc(cc2)N3CCOCC3,-4.79322789220,0.00000000000,1,G1,366.50500,3.65900,110.65950,27,4,0,4,7,144,2,1,1,3,32.78,162.29176410035,1.84754069110,736.73348197183
A-53,"4-(4,6-dimethylheptan-2-yl)phenol; 4-(5,6-dimethylheptan-2-yl)phenol; 4-(5,6-dimethylheptyl)phenol; 4-(7-methyloctyl)phenol","InChI=1S/C15H24O/c1-13(2)7-5-3-4-6-8-14-9-11-15(16)12-10-14/h9-13,16H,3-8H2,1-2H3",JSFITYFUKSFPBZ-UHFFFAOYSA-N,CC(C)CCCCCCc1ccc(O)cc1,-4.58725002460,0.00000000000,1,G1,220.35600,4.54120,69.73380,16,1,1,1,7,90,1,0,0,1,20.23,99.51011590126,2.04858256355,273.99135499381
A-54,"1,3-bis(prop-1-en-2-yl)benzene","InChI=1S/C12H14/c1-9(2)11-6-5-7-12(8-11)10(3)4/h5-8H,1,3H2,2,4H3",IBVPVTPPYGGAEL-UHFFFAOYSA-N,CC(=C)c1cccc(c1)C(C)=C,-4.45113922520,0.00000000000,1,G1,158.24400,3.75280,55.85800,12,0,0,0,2,62,1,0,0,1,0.00,74.24184974151,3.12180577525,289.31512465051
A-55,molybdenum,InChI=1S/Mo,ZOKXTWBITQBERF-UHFFFAOYSA-N,[Mo],-4.20384846370,0.00000000000,1,G1,95.94000,-0.00250,0.00000,1,0,0,1,0,6,0,0,0,0,0.00,21.75656585169,0.00000000000,0.00000000000
A-56,"ethenyl 2,2-dimethyloctanoate","InChI=1S/C12H22O2/c1-5-14-11(13)9-7-6-8-10-12(2,3)4/h5H,1,6-10H2,2-4H3",TVFJAZCVMOXQRK-UHFFFAOYSA-N,CC(C)(C)CCCCCC(=O)OC=C,-4.58133251090,0.00000000000,1,G1,198.30600,3.66970,58.82900,14,2,0,2,6,82,0,0,0,0,26.30,87.33907858356,3.29721511075,177.25097565253
A-58,1-tert-butyl-4-methylbenzene,"InChI=1S/C11H16/c1-9-5-7-10(8-6-9)11(2,3)4/h5-8H,1-4H3",QCWXDVFBZVHKLV-UHFFFAOYSA-N,Cc1ccc(cc1)C(C)(C)C,-4.47202176820,0.04845500650,2,G3,148.24900,3.29252,49.87900,11,0,0,0,0,60,1,0,0,1,0.00,69.25611369148,2.99375478826,223.21037742768
A-61,cyclohexanecarboxylic acid,"InChI=1S/C7H12O2/c8-7(9)6-4-2-1-3-5-6/h6H,1-5H2,(H,8,9)",NZNMSOFKMUBTKW-UHFFFAOYSA-N,OC(=O)C1CCCCC1,-1.44503194100,0.18248402950,2,G3,128.17100,1.65130,34.21080,9,1,1,2,1,52,0,1,1,1,37.30,54.87882841292,2.31219153357,103.48377837619
A-62,"pentasodium 5-{[4-chloro-6-({3-[2-(sulfonatooxy)ethanesulfonyl]phenyl}amino)-1,3,5-triazin-2-yl]amino}-3-[(E)-2-(1,5-disulfonatonaphthalen-2-yl)diazen-1-yl]-4-hydroxynaphthalene-2,7-disulfonate","InChI=1S/C31H24ClN7O19S6.5Na/c32-29-35-30(33-16-3-1-4-17(13-16)59(41,42)10-9-58-64(55,56)57)37-31(36-29)34-22-14-18(60(43,44)45)11-15-12-24(62(49,50)51)26(27(40)25(15)22)39-38-21-8-7-19-20(28(21)63(52,53)54)5-2-6-23(19)61(46,47)48;;;;;/h1-8,11-14,38H,9-10H2,(H,43,44,45)(H,46,47,48)(H,49,50,51)(H,52,53,54)(H,55,56,57)(H2,33,34,35,36,37);;;;;/q;5*+1/p-5/b39-26+;;;;;",NVNQRAOQGCJYDU-QUSWNXLDSA-I,[Na+].[Na+].[Na+].[Na+].[Na+].[O-][S](=O)(=O)OCC[S](=O)(=O)c1cccc(Nc2nc(Cl)nc(Nc3cc(cc4C=C(\C(=N/Nc5ccc6c(cccc6[S]([O-])(=O)=O)c5[S]([O-])(=O)=O)C(=O)c34)[S]([O-])(=O)=O)[S]([O-])(=O)=O)n2)c1,-0.41089773580,0.00000000000,1,G1,1136.32800,-14.30130,212.88840,69,26,3,38,15,340,5,0,1,6,433.56,507.57547174789,0.00000476100,3615.45339741839
A-63,"N,N'-bis(3-phenylprop-2-en-1-ylidene)hexane-1,6-diamine","InChI=1S/C24H28N2/c1(9-19-25-21-11-17-23-13-5-3-6-14-23)2-10-20-26-22-12-18-24-15-7-4-8-16-24/h3-8,11-18,21-22H,1-2,9-10,19-20H2/b17-11+,18-12+,25-21?,26-22?",ATPFMBHTMKBVLS-NCDJPSHJSA-N,C(CCCN=C\C=C\c1ccccc1)CCN=C/C=C/c2ccccc2,-3.89373907110,0.00000000000,1,G1,344.50200,6.11520,116.13800,26,2,0,2,11,134,2,0,0,2,24.72,157.27924160567,1.44232456473,634.00520657791
A-65,"2-(benzotriazol-2-yl)-6-[[3-(benzotriazol-2-yl)-2-hydroxy-5-(2,4,4-trimethylpentan-2-yl)phenyl]methyl]-4-(2,4,4-trimethylpentan-2-yl)phenol","InChI=1S/C41H50N6O2/c1-38(2,3)24-40(7,8)28-20-26(36(48)34(22-28)46-42-30-15-11-12-16-31(30)43-46)19-27-21-29(41(9,10)25-39(4,5)6)23-35(37(27)49)47-44-32-17-13-14-18-33(32)45-47/h11-18,20-23,48-49H,19,24-25H2,1-10H3",FQUNFJULCYSSOP-UHFFFAOYSA-N,CC(C)(C)CC(C)(C)c1cc(Cc2cc(cc(n3nc4ccccc4n3)c2O)C(C)(C)CC(C)(C)C)c(O)c(c1)n5nc6ccccc6n5,-7.97371553540,1.85592384025,3,G4,658.89100,9.58400,198.06160,49,8,2,8,8,256,6,0,0,6,101.88,289.34916826292,1.55269117989,1937.71688812816
A-68,[2-({4-[(E)-2-(2-chloro-4-nitrophenyl)diazen-1-yl]phenyl}(ethyl)amino)ethyl]trimethylazanium chloride,"InChI=1S/C19H25ClN5O2.ClH/c1-5-23(12-13-25(2,3)4)16-8-6-15(7-9-16)21-22-19-11-10-17(24(26)27)14-18(19)20;/h6-11,14H,5,12-13H2,1-4H3;1H/q+1;/p-1",ZFRUNHQZTYGGDY-UHFFFAOYSA-M,[Cl-].CCN(CC[N+](C)(C)C)c1ccc(cc1)N=Nc2ccc(cc2Cl)[N+]([O-])=O,-3.03869962300,0.00000000000,1,G1,426.34800,2.20010,109.51080,28,5,0,9,8,152,2,0,0,2,71.10,176.32884399976,0.00000391999,820.06396488898
A-69,"2-(morpholin-4-ylsulfanyl)-1,3-benzothiazole","InChI=1S/C11H12N2OS2/c1-2-4-10-9(3-1)12-11(15-10)16-13-5-7-14-8-6-13/h1-4H,5-8H2",MHKLKWCYGIBEQF-UHFFFAOYSA-N,C1CN(CCO1)Sc2sc3ccccc3n2,-3.81096279540,0.00000000000,1,G1,252.36400,2.63560,67.86900,16,5,0,5,2,84,2,1,1,3,25.36,102.55888264235,1.77789711738,446.54422769261
A-70,"(1R-(1alpha,2beta,4beta,6alpha))-2,2,7-Trimethyl-3-oxatricyclo(4.1.1.02,4)octane","InChI=1S/C10H16O/c1-9(2)6-4-7(9)10(3)8(5-6)11-10/h6-8H,4-5H2,1-3H3/t6-,7-,8+,10-/m1/s1",NQFUSWIGRKFAHK-BDNRQGISSA-N,CC1(C)[C@H]2C[C@@H]3O[C@]3(C)[C@@H]1C2,-2.59368849150,0.00000000000,1,G1,152.23700,2.20990,43.27300,11,1,0,1,0,62,0,4,4,4,12.53,68.11978182632,1.98031525595,216.15777938859
A-71,"tetrasodium 7-[(E)-2-[2-(carbamoylamino)-4-{[4-chloro-6-({3-[2-(sulfonatooxy)ethanesulfonyl]phenyl}amino)-1,3,5-triazin-2-yl]amino}phenyl]diazen-1-yl]naphthalene-1,3,6-trisulfonate","InChI=1S/C28H24ClN9O16S5.4Na/c29-25-34-27(31-15-2-1-3-17(10-15)55(40,41)7-6-54-59(51,52)53)36-28(35-25)32-16-4-5-20(21(11-16)33-26(30)39)37-38-22-13-19-14(9-24(22)58(48,49)50)8-18(56(42,43)44)12-23(19)57(45,46)47;;;;/h1-5,8-13H,6-7H2,(H3,30,33,39)(H,42,43,44)(H,45,46,47)(H,48,49,50)(H,51,52,53)(H2,31,32,34,35,36);;;;/q;4*+1/p-4",UIEBGVDTKLYGTN-UHFFFAOYSA-J,[Na+].[Na+].[Na+].[Na+].NC(=O)Nc1cc(Nc2nc(Cl)nc(Nc3cccc(c3)[S](=O)(=O)CCO[S]([O-])(=O)=O)n2)ccc1N=Nc4cc5c(cc(cc5[S]([O-])(=O)=O)[S]([O-])(=O)=O)cc4[S]([O-])(=O)=O,-0.42613648520,0.00000000000,1,G1,1026.26300,-9.94980,197.20810,63,23,4,35,15,314,5,0,0,5,414.74,451.05525399307,0.00000496124,3157.93203048309
