id,bibtexkey,quotation,bibliography,doi
12,2577,Abraham et&nbsp;al. (2008),"Abraham, M. H., Gil-Lostes, J., Acree, Jr., W. E., Cometto-Muñiz, J. E., &#x0026; Cain, W. S.: <span class='"cmti-10'">Solvation parameters for mercury and mercury(II)</span> <span class='"cmti-10'">compounds: calculation of properties of environmental interest</span>, J. Environ. Monit., 10, 435–442, <a href='"https://doi.org/10.1039/B719685G'" >doi:10.1039/B719685G</a> (2008). ",
13,1597,Alaee et&nbsp;al. (1996),"Alaee, M., Whittal, R. M., &#x0026; Strachan, W. M. J.: <span class='"cmti-10'">The effect of water temperature and composition</span> <span class='"cmti-10'">on Henry&#x2019;s law constant for various PAH&#x2019;s</span>, Chemosphere, 32, 1153–1164, <a href='"https://doi.org/10.1016/0045-6535(96)00031-8'" >doi:10.1016/0045-6535(96)00031-8</a> (1996). ",
14,albanese87,Albanese et&nbsp;al. (1987),"Albanese, V., Milano, J. C., &#x0026; Vernet, J. L.: <span class='"cmti-10'">Etude de l&#x2019;evaporation de</span> <span class='"cmti-10'">quelques hydrocarbures halogenenes de faible masse moleculaire dissous</span> <span class='"cmti-10'">a l&#x2019;etat de traces dans l&#x2019;eau</span>, Environ. Technol. Lett., 8, 657–668, <a href='"https://doi.org/10.1080/09593338709384529'" >doi:10.1080/09593338709384529</a> (1987). ",
15,985,Allen et&nbsp;al. (1998),"Allen, J. M., Balcavage, W. X., Ramachandran, B. R., &#x0026; Shrout, A. L.: <span class='"cmti-10'">Determination of Henry&#x2019;s Law constants by equilibrium partitioning in a</span> <span class='"cmti-10'">closed system using a new in situ optical absorbance method</span>, Environ. Toxicol. Chem., 17, 1216–1221, <a href='"https://doi.org/10.1002/ETC.5620170704'" >doi:10.1002/ETC.5620170704</a> (1998). ",
16,2817,Allou et&nbsp;al. (2011),"Allou, L., El Maimouni, L., &#x0026; Le Calvé, S.: <span class='"cmti-10'">Henry&#x2019;s law constant</span> <span class='"cmti-10'">measurements for formaldehyde and benzaldehyde as a function of</span> <span class='"cmti-10'">temperature and water composition</span>, Atmos. Environ., 45, 2991–2998, <a href='"https://doi.org/10.1016/J.ATMOSENV.2010.05.044'" >doi:10.1016/J.ATMOSENV.2010.05.044</a> (2011). ",
17,3106,Almeida et&nbsp;al. (1983),"Almeida, M. B., Alvarez, A. M., de Miguel, E. M., &#x0026; del Hoyo, E. S.: <span class='"cmti-10'">Setchenow</span> <span class='"cmti-10'">coefficients for naphthols by distribution method</span>, Can. J. Chem., 61, 244–248, <a href='"https://doi.org/10.1139/V83-043'" >doi:10.1139/V83-043</a> (1983). ",
97,530,Brimblecombe and Clegg (1989),"Brimblecombe, P. &#x0026; Clegg, S. L.: <span class='"cmti-10'">Erratum</span>, J. Atmos. Chem., 8, 95, <a href='"https://doi.org/10.1007/BF00053818'" >doi:10.1007/BF00053818</a> (1989). ",
18,1195,Altschuh et&nbsp;al. (1999),"Altschuh, J., Brüggemann, R., Santl, H., Eichinger, G., &#x0026; Piringer, O. G.: <span class='"cmti-10'">Henry&#x2019;s law constants for a diverse set of organic chemicals:</span> <span class='"cmti-10'">Experimental determination and comparison of estimation methods</span>, Chemosphere, 39, 1871–1887, <a href='"https://doi.org/10.1016/S0045-6535(99)00082-X'" >doi:10.1016/S0045-6535(99)00082-X</a> (1999). ",
19,670,Amels et&nbsp;al. (1996),"Amels, P., Elias, H., Götz, U., Steingens, U., &#x0026; Wannowius, K. J.: <span class='"cmti-10'">Chapter 3.1:</span> <span class='"cmti-10'">Kinetic investigation of the stability of peroxonitric acid and of its reaction</span> <span class='"cmti-10'">with sulfur(IV) in aqueous solution</span>, in: Heterogeneous and Liquid-Phase Processes, edited by Warneck, P., pp. 77–88, Springer Verlag, Berlin, <a href='"https://doi.org/10.1007/978-3-642-61445-3_3'" >doi:10.1007/978-3-642-61445-3_3</a> (1996). ",
20,2388,Amoore and Buttery (1978),"Amoore, J. E. &#x0026; Buttery, R. G.: <span class='"cmti-10'">Partition</span> <span class='"cmti-10'">coefficient and comparative olfactometry</span>, Chem. Senses Flavour, 3, 57–71, <a href='"https://doi.org/10.1093/CHEMSE/3.1.57'" >doi:10.1093/CHEMSE/3.1.57</a> (1978). ",
21,2983,Anderson (1992),"Anderson, M. A.: <span class='"cmti-10'">Influence of surfactants on vapor-liquid partitioning</span>, Environ. Sci. Technol., 26, 2186–2191, <a href='"https://doi.org/10.1021/ES00035A017'" >doi:10.1021/ES00035A017</a> (1992). ",
22,2820,Andersson et&nbsp;al. (2008),"Andersson, M. E., Gårdfeldt, K., Wängberg, I., &#x0026; Strömberg, D.: <span class='"cmti-10'">Determination of Henry&#x2019;s law constant for elemental mercury</span>, Chemosphere, 73, 587–592, <a href='"https://doi.org/10.1016/J.CHEMOSPHERE.2008.05.067'" >doi:10.1016/J.CHEMOSPHERE.2008.05.067</a> (2008). ",
23,719,Andon et&nbsp;al. (1954),"Andon, R. J. L., Cox, J. D., &#x0026; Herington, E. F. G.: <span class='"cmti-10'">Phase relationships in the</span> <span class='"cmti-10'">pyridine series. Part V. The thermodynamic properties of dilute solutions</span> <span class='"cmti-10'">of pyridine bases in water at 25</span><span class='"cmti-10'"> </span><span class='"cmsy-7'">∘</span> <span class='"cmti-10'">and 40</span><span class='"cmti-10'"> </span><span class='"cmsy-7'">∘</span>, J. Chem. Soc., pp. 3188–3196, <a href='"https://doi.org/10.1039/JR9540003188'" >doi:10.1039/JR9540003188</a> (1954). ",
24,1151,Andrew and Hanson (1961),"Andrew, S. P. S. &#x0026; Hanson, D.: <span class='"cmti-10'">The dynamics of nitrous gas absorption</span>, Chem. Eng. Sci., 14, 105–113, <a href='"https://doi.org/10.1016/0009-2509(61)85060-4'" >doi:10.1016/0009-2509(61)85060-4</a> (1961). ",
25,2371,Aprea et&nbsp;al. (2007),"Aprea, E., Biasioli, F., Märk, T. D., &#x0026; Gasperi, F.: <span class='"cmti-10'">PTR-MS study of esters in water and</span> <span class='"cmti-10'">water/ethanol solutions: Fragmentation</span> <span class='"cmti-10'">patterns and partition coefficients</span>, Int. J. Mass Spectrom., 262, 114–121, <a href='"https://doi.org/10.1016/J.IJMS.2006.10.016'" >doi:10.1016/J.IJMS.2006.10.016</a> (2007). ",
26,2481,Arbuckle (1983),"Arbuckle, W. B.: <span class='"cmti-10'">Estimating activity coefficients for use</span> <span class='"cmti-10'">in calculating environmental parameters</span>, Environ. Sci. Technol., 17, 537–542, <a href='"https://doi.org/10.1021/ES00115A008'" >doi:10.1021/ES00115A008</a> (1983). ",
27,629,Arijs and Brasseur (1986),"Arijs, E. &#x0026; Brasseur, G.: <span class='"cmti-10'">Acetonitrile in the</span> <span class='"cmti-10'">stratosphere and implications for positive ion composition</span>, J. Geophys. Res., 91D, 4003–4016, <a href='"https://doi.org/10.1029/JD091ID03P04003'" >doi:10.1029/JD091ID03P04003</a> (1986). ",
28,3073,Armbrust (2000),"Armbrust, K. L.: <span class='"cmti-10'">Pesticide hydroxyl radical rate constants: Measurements and estimates of</span> <span class='"cmti-10'">their importance in aquatic environments</span>, Environ. Toxicol. Chem., 19, 2175–2180, <a href='"https://doi.org/10.1002/etc.5620190905'" >doi:10.1002/etc.5620190905</a> (2000). ",
29,2378,Arnett and Chawla (1979),"Arnett, E. M. &#x0026; Chawla, B.: <span class='"cmti-10'">Complete thermodynamic analysis of the hydration of thirteen pyridines</span> <span class='"cmti-10'">and pyridinium ions. The special case of 2,6-di-tert-butylpyridine</span>, J. Am. Chem. Soc., 101, 7141–7146, <a href='"https://doi.org/10.1021/JA00518A001'" >doi:10.1021/JA00518A001</a> (1979). ",
30,2386,Arnett et&nbsp;al. (1977),"Arnett, E. M., Chawla, B., Bell, L., Taagepera, M., Hehre, W. J., &#x0026; Taft, R. W.: <span class='"cmti-10'">Solvation and hydrogen bonding of pyridinium ions</span>, J. Am. Chem. Soc., 99, 5729–5738, <a href='"https://doi.org/10.1021/JA00459A034'" >doi:10.1021/JA00459A034</a> (1977). ",
31,2646,Arp and Schmidt (2004),"Arp, H. P. H. &#x0026; Schmidt, T. C.: <span class='"cmti-10'">Air-water</span> <span class='"cmti-10'">transfer of MTBE, its degradation products, and alternative fuel</span> <span class='"cmti-10'">oxygenates: the role of temperature</span>, Environ. Sci. Technol., 38, 5405–5412, <a href='"https://doi.org/10.1021/ES049286O'" >doi:10.1021/ES049286O</a> (2004). ",
32,2992,Arp et&nbsp;al. (2006),"Arp, H. P. H., Niederer, C., &#x0026; Goss, K. U.: <span class='"cmti-10'">Predicting the partitioning behavior of various</span> <span class='"cmti-10'">highly fluorinated compounds</span>, Environ. Sci. Technol., 40, 7298–7304, <a href='"https://doi.org/10.1021/ES060744Y'" >doi:10.1021/ES060744Y</a> (2006). ",
33,2831,Ashton et&nbsp;al. (1968),"Ashton, J. T., Dawe, R. A., Miller, K. W., Smith, E. B., &#x0026; Stickings, B. J.: <span class='"cmti-10'">The</span> <span class='"cmti-10'">solubility of certain gaseous fluorine compounds in water</span>, J. Chem. Soc. A, pp. 1793–1796, <a href='"https://doi.org/10.1039/J19680001793'" >doi:10.1039/J19680001793</a> (1968). ",
34,1156,Ashworth et&nbsp;al. (1988),"Ashworth, R. A., Howe, G. B., Mullins, M. E., &#x0026; Rogers, T. N.: <span class='"cmti-10'">Air-water partitioning coefficients of organics in dilute aqueous solutions</span>, J. Hazard. Mater., 18, 25–36, <a href='"https://doi.org/10.1016/0304-3894(88)85057-X'" >doi:10.1016/0304-3894(88)85057-X</a> (1988). ",
35,928,Atkins (1986),"Atkins, P. W.: Physical Chemistry, Oxford University Press (1986). ",
36,1926,Atlas et&nbsp;al. (1982),"Atlas, E., Foster, R., &#x0026; Giam, C. S.: <span class='"cmti-10'">Air-sea exchange of high-molecular</span> <span class='"cmti-10'">weight organic pollutants: laboratory studies</span>, Environ. Sci. Technol., 16, 283–286, <a href='"https://doi.org/10.1021/ES00099A010'" >doi:10.1021/ES00099A010</a> (1982). ",
37,2533,Atlas et&nbsp;al. (1983),"Atlas, E., Velasco, A., Sullivan, K., &#x0026; Giam, C. S.: <span class='"cmti-10'">A radiotracer study of air-water</span> <span class='"cmti-10'">exchange of synthetic organic compounds</span>, Chemosphere, 12, 1251–1258, <a href='"https://doi.org/10.1016/0045-6535(83)90130-3'" >doi:10.1016/0045-6535(83)90130-3</a> (1983). ",
38,1076,Ayers (1983),"Ayers, G. P.: <span class='"cmti-10'">Equilibrium partial pressures over</span> (NH<sub><span class='"cmr-7'">4</span></sub>)<sub><span class='"cmr-7'">2</span></sub>SO<sub><span class='"cmr-7'">4</span></sub><span class='"cmti-10'">/</span>H<sub><span class='"cmr-7'">2</span></sub>SO<sub><span class='"cmr-7'">4</span></sub> <span class='"cmti-10'">mixtures</span>, Aust. J. Chem., 36, 179–182, <a href='"https://doi.org/10.1071/CH9830179'" >doi:10.1071/CH9830179</a> (1983). ",
39,201,Ayers et&nbsp;al. (1980),"Ayers, G. P., Gillett, R. W., &#x0026; Gras, J. L.: <span class='"cmti-10'">On the vapor pressure of sulfuric acid</span>, Geophys. Res. Lett., 7, 433–436, <a href='"https://doi.org/10.1029/GL007I006P00433'" >doi:10.1029/GL007I006P00433</a> (1980). ",
40,2969,Ayuttaya et&nbsp;al. (2001),"Ayuttaya, P. C. N., Rogers, T. N., Mullins, M. E., &#x0026; Kline, A. A.: <span class='"cmti-10'">Henry&#x2019;s law constants derived from equilibrium static cell measurements</span> <span class='"cmti-10'">for dilute organic-water mixtures</span>, Fluid Phase Equilib., 185, 359–377, <a href='"https://doi.org/10.1016/S0378-3812(01)00484-8'" >doi:10.1016/S0378-3812(01)00484-8</a> (2001). ",
41,2016,Bagno et&nbsp;al. (1991),"Bagno, A., Lucchini, V., &#x0026; Scorrano, G.: <span class='"cmti-10'">Thermodynamics of protonation of ketones and esters</span> <span class='"cmti-10'">and energies of hydration of their conjugate acids</span>, J. Phys. Chem., 95, 345–352, <a href='"https://doi.org/10.1021/J100154A063'" >doi:10.1021/J100154A063</a> (1991). ",
42,2923,Bakierowska and Trzeszczyński (2003),"Bakierowska, A.-M. &#x0026; Trzeszczyński, J.: <span class='"cmti-10'">Graphical</span> <span class='"cmti-10'">method for the determination of water/gas partition coefficients of volatile</span> <span class='"cmti-10'">organic compounds by a headspace gas chromatography technique</span>, Fluid Phase Equilib., 213, 139–146, <a href='"https://doi.org/10.1016/S0378-3812(03)00286-3'" >doi:10.1016/S0378-3812(03)00286-3</a> (2003). ",
43,2952,Balls (1980),"Balls, P. W.: Gas transfer across air-water interfaces, Ph.D. thesis, University of East Anglia, Great Britain (1980). ",
44,2974,Ballschmiter and Wittlinger (1991),"Ballschmiter, K. &#x0026; Wittlinger, R.: <span class='"cmti-10'">Interhemisphere exchange of hexachlorocyclohexanes, hexachlorobenzene,</span> <span class='"cmti-10'">polychlorobiphenyls,</span> <span class='"cmti-10'">and 1,1,1-trichloro-2,2-bis(p-chlorophenyl)ethane in the lower troposphere</span>, Environ. Sci. Technol., 25, 1103–1111, <a href='"https://doi.org/10.1021/ES00018A014'" >doi:10.1021/ES00018A014</a> (1991). ",
45,2477,Bamford et&nbsp;al. (1999a),"Bamford, H. A., Poster, D. L., &#x0026; Baker, J. E.: <span class='"cmti-10'">Temperature dependence of Henry&#x2019;s law constants</span> <span class='"cmti-10'">of thirteen polycyclic aromatic hydrocarbons between 4</span><span class='"cmti-10'"> </span><span class='"cmsy-7'">∘</span>C <span class='"cmti-10'">and 31</span><span class='"cmti-10'"> </span><span class='"cmsy-7'">∘</span>C, Environ. Toxicol. Chem., 18, 1905–1912, <a href='"https://doi.org/10.1002/etc.5620180906'" >doi:10.1002/etc.5620180906</a> (1999a). ",
46,2914,Bamford et&nbsp;al. (1999b),"Bamford, H. A., Poster, D. L., &#x0026; Baker, J. E.: <span class='"cmti-10'">Method for measuring the temperature dependence</span> <span class='"cmti-10'">of the Henry&#x2019;s law constant of selected polycyclic aromatic hydrocarbons</span>, Polycyclic Aromat. Compd., 14, 11–22, <a href='"https://doi.org/10.1080/10406639908019107'" >doi:10.1080/10406639908019107</a> (1999b). ",
47,2340,Bamford et&nbsp;al. (2000),"Bamford, H. A., Poster, D. L., &#x0026; Baker, J. E.: <span class='"cmti-10'">Henry&#x2019;s law constants of polychlorinated biphenyl</span> <span class='"cmti-10'">congeners and their variation with temperature</span>, J. Chem. Eng. Data, 45, 1069–1074, <a href='"https://doi.org/10.1021/JE0000266'" >doi:10.1021/JE0000266</a> (2000). ",
48,2472,Bamford et&nbsp;al. (2002),"Bamford, H. A., Poster, D. L., Huie, R. E., &#x0026; Baker, J. E.: <span class='"cmti-10'">Using</span> <span class='"cmti-10'">extrathermodynamic relationships to model the temperature dependence of</span> <span class='"cmti-10'">Henry&#x2019;s law constants of 209 PCB congeners</span>, Environ. Sci. Technol., 36, 4395–4402, <a href='"https://doi.org/10.1021/ES020599Y'" >doi:10.1021/ES020599Y</a> (2002). ",
49,1773,Barcellos da Rosa et&nbsp;al. (2003),"Barcellos da Rosa, M., Behnke, W., &#x0026; Zetzsch, C.: <span class='"cmti-10'">Study of the heterogeneous reaction of</span> O<sub><span class='"cmr-7'">3</span></sub> <span class='"cmti-10'">with</span> CH<sub><span class='"cmr-7'">3</span></sub>SCH<sub><span class='"cmr-7'">3</span></sub> <span class='"cmti-10'">using the wetted-wall flowtube technique</span>, Atmos. Chem. Phys., 3, 1665–1673, <a href='"https://doi.org/10.5194/ACP-3-1665-2003'" >doi:10.5194/ACP-3-1665-2003</a> (2003). ",
50,1147,Barr and Newsham (1987),"Barr, R. S. &#x0026; Newsham, D. M. T.: <span class='"cmti-10'">Phase</span> <span class='"cmti-10'">equilibria in very dilute mixtures of water and chlorinated hydrocarbons.</span> <span class='"cmti-10'">Part I. Experimental results</span>, Fluid Phase Equilib., 35, 189–205, <a href='"https://doi.org/10.1016/0378-3812(87)80012-2'" >doi:10.1016/0378-3812(87)80012-2</a> (1987). ",
51,2928,Barrett et&nbsp;al. (1988),"Barrett, T. J., Anderson, G. M., &#x0026; Lugowski, J.: <span class='"cmti-10'">The solubility of hydrogen sulphide</span> <span class='"cmti-10'">in 0-5 m NaCl solutions at 25</span><span class='"cmti-10'"> </span><span class='"cmsy-7'">∘</span><span class='"cmti-10'">-95</span><span class='"cmti-10'"> </span><span class='"cmsy-7'">∘</span>C <span class='"cmti-10'">and one atmosphere</span>, Geochim. Cosmochim. Acta, 52, 807–811, <a href='"https://doi.org/10.1016/0016-7037(88)90352-3'" >doi:10.1016/0016-7037(88)90352-3</a> (1988). ",
52,1038,Bartlett and Margerum (1999),"Bartlett, W. P. &#x0026; Margerum, D. W.: <span class='"cmti-10'">Temperature dependencies of the Henry&#x2019;s law constant</span> <span class='"cmti-10'">and the aqueous phase dissociation constant of bromine chloride</span>, Environ. Sci. Technol., 33, 3410–3414, <a href='"https://doi.org/10.1021/ES990300K'" >doi:10.1021/ES990300K</a> (1999). ",
53,battino81,Battino (1981),"Battino, R., ed.: IUPAC Solubility Data Series, vol. 7 of <span class='"cmti-10'">Oxygen and Ozone</span>, Pergamon Press, Oxford, England (1981). ",
54,battino82,Battino (1982),"Battino, R., ed.: IUPAC Solubility Data Series, vol. 10 of <span class='"cmti-10'">Nitrogen and Air</span>, Pergamon Press, Oxford, England (1982). ",
55,2988,Battino (1984),"Battino, R.: <span class='"cmti-10'">The Ostwald coefficient of gas solubility</span>, Fluid Phase Equilib., 15, 231–240, <a href='"https://doi.org/10.1016/0378-3812(84)87009-0'" >doi:10.1016/0378-3812(84)87009-0</a> (1984). ",
56,2413,Battino and Clever (1966),"Battino, R. &#x0026; Clever, H. L.: <span class='"cmti-10'">The solubility of</span> <span class='"cmti-10'">gases in liquids</span>, Chem. Rev., 66, 395–463, <a href='"https://doi.org/10.1021/CR60242A003'" >doi:10.1021/CR60242A003</a> (1966). ",
57,2301,Battino et&nbsp;al. (1983),"Battino, R., Rettich, T. R., &#x0026; Tominaga, T.: <span class='"cmti-10'">The solubility of oxygen and ozone in liquids</span>, J. Phys. Chem. Ref. Data, 12, 163–178, <a href='"https://doi.org/10.1063/1.555680'" >doi:10.1063/1.555680</a> (1983). ",
58,2433,Battino et&nbsp;al. (1984),"Battino, R., Rettich, T. R., &#x0026; Tominaga, T.: <span class='"cmti-10'">The solubility of nitrogen and air in liquids</span>, J. Phys. Chem. Ref. Data, 13, 563–600, <a href='"https://doi.org/10.1063/1.555713'" >doi:10.1063/1.555713</a> (1984). ",
59,2963,Bebahani et&nbsp;al. (2002),"Bebahani, G. R. R., Hogan, P., &#x0026; Waghorne, W. E.: <span class='"cmti-10'">Ostwald concentration coefficients</span> <span class='"cmti-10'">of acetonitrile in aqueous mixed solvents: a new, rapid method for</span> <span class='"cmti-10'">measuring the solubilities of volatile solutes</span>, J. Chem. Eng. Data, 47, 1290–1292, <a href='"https://doi.org/10.1021/JE0200665'" >doi:10.1021/JE0200665</a> (2002). ",
60,625,Becker et&nbsp;al. (1996),"Becker, K. H., Kleffmann, J., Kurtenbach, R., &#x0026; Wiesen, P.: <span class='"cmti-10'">Solubility</span> <span class='"cmti-10'">of nitrous acid (</span>HONO<span class='"cmti-10'">) in sulfuric acid solutions</span>, J. Phys. Chem., 100, 14 984–14 990, <a href='"https://doi.org/10.1021/JP961140R'" >doi:10.1021/JP961140R</a> (1996). ",
61,1056,Becker et&nbsp;al. (1998),"Becker, K. H., Kleffmann, J., Negri, R. M., &#x0026; Wiesen, P.: <span class='"cmti-10'">Solubility of nitrous</span> <span class='"cmti-10'">acid (</span>HONO<span class='"cmti-10'">) in ammonium sulfate solutions</span>, J. Chem. Soc. Faraday Trans., 94, 1583–1586, <a href='"https://doi.org/10.1039/A800458G'" >doi:10.1039/A800458G</a> (1998). ",
62,536,Behnke et&nbsp;al. (1997),"Behnke, W., George, C., Scheer, V., &#x0026; Zetzsch, C.: <span class='"cmti-10'">Production and decay of</span> ClNO<sub><span class='"cmr-7'">2</span></sub> <span class='"cmti-10'">from the reaction of gaseous</span> N<sub><span class='"cmr-7'">2</span></sub>O<sub><span class='"cmr-7'">5</span></sub> <span class='"cmti-10'">with</span> NaCl <span class='"cmti-10'">solution: Bulk and aerosol</span> <span class='"cmti-10'">experiments</span>, J. Geophys. Res., 102D, 3795–3804, <a href='"https://doi.org/10.1029/96JD03057'" >doi:10.1029/96JD03057</a> (1997). ",
63,bell66,Bell (1966),"Bell, R. P.: <span class='"cmti-10'">The reversible hydration of carbonyl compounds</span>, Adv. Phys. Org. Chem., 4, 1–29, <a href='"https://doi.org/10.1016/S0065-3160(08)60351-2'" >doi:10.1016/S0065-3160(08)60351-2</a> (1966). ",
64,2219,Ben-Naim and Wilf (1980),"Ben-Naim, A. &#x0026; Wilf, J.: <span class='"cmti-10'">Solubilities and</span> <span class='"cmti-10'">hydrophobic interactions in aqueous solutions of monoalkylbenzene</span> <span class='"cmti-10'">molecules</span>, J. Phys. Chem., 84, 583–586, <a href='"https://doi.org/10.1021/J100443A004'" >doi:10.1021/J100443A004</a> (1980). ",
65,1996,Beneš and Dohnal (1999),"Beneš, M. &#x0026; Dohnal, V.: <span class='"cmti-10'">Limiting activity</span> <span class='"cmti-10'">coefficients of some aromatic and aliphatic nitro compounds in water</span>, J. Chem. Eng. Data, 44, 1097–1102, <a href='"https://doi.org/10.1021/JE9900326'" >doi:10.1021/JE9900326</a> (1999). ",
66,617,Benkelberg et&nbsp;al. (1995),"Benkelberg, H.-J., Hamm, S., &#x0026; Warneck, P.: <span class='"cmti-10'">Henry&#x2019;s law coefficients for aqueous</span> <span class='"cmti-10'">solutions of acetone, acetaldehyde and acetonitrile, and equilibrium</span> <span class='"cmti-10'">constants for the addition compounds of acetone and acetaldehyde with</span> <span class='"cmti-10'">bisulfite</span>, J. Atmos. Chem., 20, 17–34, <a href='"https://doi.org/10.1007/BF01099916'" >doi:10.1007/BF01099916</a> (1995). ",
67,2437,Benson et&nbsp;al. (1979),"Benson, B. B., Krause, Jr., D., &#x0026; Peterson, M. A.: <span class='"cmti-10'">The solubility and isotopic fractionation of</span> <span class='"cmti-10'">gases in dilute aqueous solution. I. oxygen</span>, J. Solution Chem., 8, 655–690, <a href='"https://doi.org/10.1007/BF01033696'" >doi:10.1007/BF01033696</a> (1979). ",
68,763,Berdnikov and Bazhin (1970),"Berdnikov, V. M. &#x0026; Bazhin, N. M.: <span class='"cmti-10'">Oxidation-reduction potentials of certain inorganic radicals in aqueous</span> <span class='"cmti-10'">solutions</span>, Russ. J. Phys. Chem., 44, 395–398 (1970). ",
